school_key,name_zh,name_en,district,gender,school_net,school_type,address_zh,website,phone,email
DS-01,港大同學會小學,HKUGA Primary School,港島區,coed,,direct_subsidy,香港柴灣怡盛街9號,https://www.hkugaps.edu.hk,2202 3922,info@hkugaps.edu.hk
DS-02,聖保羅男女中學附屬小學,St. Paul's Co-Educational College Primary School,港島區,coed,,direct_subsidy,香港黃竹坑南風徑11號,https://www.spccps.edu.hk/,2526 1882,spccps@ps.spcc.edu.hk
DS-03,聖保羅書院小學,St. Paul's College Primary School,港島區,boys,,direct_subsidy,香港域多利道777號,http://www.spc-ps.edu.hk,3710 1777,office@spc-ps.edu.hk
DS-04,漢華中學(附設小學部),Hon Wah College (Primary Section),港島區,coed,,direct_subsidy,香港小西灣富欣道3號,https://www.honwah.edu.hk,2817 1746,info@honwah.edu.hk
DS-05,拔萃男書院附屬小學,Diocesan Boys' School Primary Division,九龍區,boys,,direct_subsidy,九龍旺角亞皆老街131號,https://www.dbspd.edu.hk,3159 4200,dbspd@dbs.edu.hk
DS-06,保良局林文燦英文小學,Po Leung Kuk Lam Man Chan English Primary School,九龍區,coed,,direct_subsidy,九龍土瓜灣上鄉道24號 (P1-3校舍) / 九龍農圃道2號 (P4-6校舍),https://plklmceps.edu.hk/,2712 1270 (上鄉道) / 2755 7799 (農圃道),email@plklmceps.edu.hk
DS-07,保良局陳守仁小學,Po Leung Kuk Camões Tan Siu Lin Primary School,九龍區,coed,,direct_subsidy,九龍油麻地海庭道六號,https://www.plkctslps.edu.hk,2367 3318,info@plkctslps.edu.hk
DS-08,英華小學,Ying Wa Primary School,九龍區,boys,,direct_subsidy,九龍深水埗英華街三號,http://www.yingwaps.edu.hk/,2728 3320,school@yingwa.hk
DS-09,聖瑪加利男女英文中小學,St. Margaret's Co-Educational English Secondary and Primary School,九龍區,coed,,direct_subsidy,九龍深水埗深旺道33號,http://www.smcesps.edu.hk,2396 6675,enquiry@smcesps.edu.hk
DS-10,福建中學附屬學校,Fukien Secondary School Affiliated School,九龍區,coed,,direct_subsidy,九龍觀塘油塘邨第二期,https://www.fssas.edu.hk,2606 0670,info@fssas.edu.hk
