school_key,academic_year,application_level,notes
DS-01,2027-2028,primary,
DS-02,2027-2028,primary,
DS-03,2027-2028,primary,
DS-04,2027-2028,primary,
DS-05,2027-2028,primary,
DS-06,2027-2028,primary,
DS-07,2027-2028,primary,
DS-08,2027-2028,primary,
DS-09,2027-2028,primary,
DS-10,2027-2028,primary,
DS-11,2027-2028,primary,
DS-12,2027-2028,primary,
DS-13,2027-2028,primary,
DS-14,2027-2028,primary,
DS-15,2027-2028,primary,
DS-16,2027-2028,primary,
DS-17,2027-2028,primary,
DS-18,2027-2028,primary,
DS-19,2027-2028,primary,
DS-20,2027-2028,primary,
DS-21,2027-2028,primary,
INT-01,2027-2028,primary,
INT-01,2027-2028,kindergarten,
INT-02,2027-2028,primary,
INT-02,2027-2028,kindergarten,
INT-03,2027-2028,primary,
INT-03,2027-2028,kindergarten,
INT-04,2027-2028,primary,
INT-04,2027-2028,kindergarten,
INT-05,2027-2028,primary,
INT-05,2027-2028,kindergarten,
INT-06,2027-2028,primary,
INT-06,2027-2028,kindergarten,
INT-07,2027-2028,primary,
INT-07,2027-2028,kindergarten,
INT-08,2027-2028,primary,
INT-08,2027-2028,kindergarten,
INT-09,2027-2028,primary,
INT-09,2027-2028,kindergarten,
INT-10,2027-2028,primary,
INT-10,2027-2028,kindergarten,
INT-11,2027-2028,primary,
INT-11,2027-2028,kindergarten,
INT-12,2027-2028,primary,
INT-12,2027-2028,kindergarten,
INT-13,2027-2028,primary,
INT-14,2027-2028,primary,
INT-14,2027-2028,kindergarten,
INT-15,2027-2028,primary,
INT-15,2027-2028,kindergarten,
INT-16,2027-2028,primary,
INT-16,2027-2028,kindergarten,
INT-17,2027-2028,primary,
INT-17,2027-2028,kindergarten,
INT-18,2027-2028,primary,
INT-18,2027-2028,kindergarten,
INT-19,2027-2028,primary,
INT-19,2027-2028,kindergarten,
INT-20,2027-2028,primary,
INT-20,2027-2028,kindergarten,
PIS-01,2027-2028,primary,
PIS-01,2027-2028,kindergarten,
PIS-02,2027-2028,primary,
PIS-02,2027-2028,kindergarten,
PIS-03,2027-2028,primary,
PIS-04,2027-2028,primary,
PIS-04,2027-2028,kindergarten,
PIS-05,2027-2028,primary,
PIS-05,2027-2028,kindergarten,
PIS-06,2027-2028,primary,
PIS-06,2027-2028,kindergarten,
PIS-07,2027-2028,primary,
PIS-07,2027-2028,kindergarten,
PIS-08,2027-2028,primary,
PIS-08,2027-2028,kindergarten,
PRV-01,2027-2028,primary,
PRV-02,2027-2028,primary,
PRV-03,2027-2028,primary,
PRV-04,2027-2028,primary,
PRV-05,2027-2028,primary,
PRV-06,2027-2028,primary,
PRV-07,2027-2028,primary,
PRV-08,2027-2028,primary,
PRV-09,2027-2028,primary,
PRV-10,2027-2028,primary,
PRV-11,2027-2028,primary,
PRV-12,2027-2028,primary,
PRV-13,2027-2028,primary,
PRV-14,2027-2028,primary,
PRV-15,2027-2028,primary,
PRV-16,2027-2028,primary,
PRV-17,2027-2028,primary,
PRV-18,2027-2028,primary,
PRV-19,2027-2028,primary,
PRV-20,2027-2028,primary,
PRV-21,2027-2028,primary,
PRV-22,2027-2028,primary,
PRV-23,2027-2028,primary,
PRV-24,2027-2028,primary,
PRV-25,2027-2028,primary,
PRV-26,2027-2028,primary,
PRV-27,2027-2028,primary,
PRV-28,2027-2028,primary,
PRV-29,2027-2028,primary,
PRV-30,2027-2028,primary,
PRV-31,2027-2028,primary,
PRV-32,2027-2028,primary,
PRV-33,2027-2028,primary,
PRV-34,2027-2028,primary,
PRV-35,2027-2028,primary,
PRV-36,2027-2028,primary,
PRV-37,2027-2028,primary,
PRV-38,2027-2028,primary,
PRV-39,2027-2028,primary,
PRV-40,2027-2028,primary,
PRV-41,2027-2028,primary,
PRV-42,2027-2028,primary,
PRV-43,2027-2028,primary,
PRV-44,2027-2028,primary,
PRV-45,2027-2028,primary,
