school_key,academic_year,event_type,sequence_no,title_zh,start_at,end_at,all_day
DS-01,2027-2028,open_day,1,開放日,2026-09-20T09:00:00+08:00,2026-09-20T16:00:00+08:00,true
DS-01,2027-2028,info_session,2,簡介會,2026-10-04T10:00:00+08:00,2026-10-04T12:00:00+08:00,false
DS-01,2027-2028,application_open,3,開放申請,2026-10-15T09:00:00+08:00,,true
DS-01,2027-2028,application_deadline,4,申請截止,2026-11-30T23:59:00+08:00,,false
DS-01,2027-2028,first_interview,5,一面,2026-12-12T09:00:00+08:00,2026-12-12T11:00:00+08:00,false
DS-01,2027-2028,second_interview,6,二面,2027-01-16T09:00:00+08:00,2027-01-16T11:00:00+08:00,false
DS-01,2027-2028,result_release,7,結果公佈,2027-02-06T09:00:00+08:00,,true
DS-02,2027-2028,open_day,1,開放日,2026-09-20T09:00:00+08:00,2026-09-20T16:00:00+08:00,true
DS-02,2027-2028,info_session,2,簡介會,2026-10-04T10:00:00+08:00,2026-10-04T12:00:00+08:00,false
DS-02,2027-2028,application_open,3,開放申請,2026-10-15T09:00:00+08:00,,true
DS-02,2027-2028,application_deadline,4,申請截止,2026-11-30T23:59:00+08:00,,false
DS-02,2027-2028,first_interview,5,一面,2026-12-12T09:00:00+08:00,2026-12-12T11:00:00+08:00,false
DS-02,2027-2028,second_interview,6,二面,2027-01-16T09:00:00+08:00,2027-01-16T11:00:00+08:00,false
DS-02,2027-2028,result_release,7,結果公佈,2027-02-06T09:00:00+08:00,,true
DS-03,2027-2028,open_day,1,開放日,2026-09-20T09:00:00+08:00,2026-09-20T16:00:00+08:00,true
DS-03,2027-2028,info_session,2,簡介會,2026-10-04T10:00:00+08:00,2026-10-04T12:00:00+08:00,false
DS-03,2027-2028,application_open,3,開放申請,2026-10-15T09:00:00+08:00,,true
DS-03,2027-2028,application_deadline,4,申請截止,2026-11-30T23:59:00+08:00,,false
DS-03,2027-2028,first_interview,5,一面,2026-12-12T09:00:00+08:00,2026-12-12T11:00:00+08:00,false
DS-03,2027-2028,second_interview,6,二面,2027-01-16T09:00:00+08:00,2027-01-16T11:00:00+08:00,false
DS-03,2027-2028,result_release,7,結果公佈,2027-02-06T09:00:00+08:00,,true
DS-04,2027-2028,open_day,1,開放日,2026-09-20T09:00:00+08:00,2026-09-20T16:00:00+08:00,true
DS-04,2027-2028,info_session,2,簡介會,2026-10-04T10:00:00+08:00,2026-10-04T12:00:00+08:00,false
DS-04,2027-2028,application_open,3,開放申請,2026-10-15T09:00:00+08:00,,true
DS-04,2027-2028,application_deadline,4,申請截止,2026-11-30T23:59:00+08:00,,false
DS-04,2027-2028,first_interview,5,一面,2026-12-12T09:00:00+08:00,2026-12-12T11:00:00+08:00,false
DS-04,2027-2028,second_interview,6,二面,2027-01-16T09:00:00+08:00,2027-01-16T11:00:00+08:00,false
DS-04,2027-2028,result_release,7,結果公佈,2027-02-06T09:00:00+08:00,,true
DS-05,2027-2028,open_day,1,開放日,2026-09-20T09:00:00+08:00,2026-09-20T16:00:00+08:00,true
DS-05,2027-2028,info_session,2,簡介會,2026-10-04T10:00:00+08:00,2026-10-04T12:00:00+08:00,false
DS-05,2027-2028,application_open,3,開放申請,2026-10-15T09:00:00+08:00,,true
DS-05,2027-2028,application_deadline,4,申請截止,2026-11-30T23:59:00+08:00,,false
DS-05,2027-2028,first_interview,5,一面,2026-12-12T09:00:00+08:00,2026-12-12T11:00:00+08:00,false
DS-05,2027-2028,second_interview,6,二面,2027-01-16T09:00:00+08:00,2027-01-16T11:00:00+08:00,false
DS-05,2027-2028,result_release,7,結果公佈,2027-02-06T09:00:00+08:00,,true
DS-06,2027-2028,open_day,1,開放日,2026-09-20T09:00:00+08:00,2026-09-20T16:00:00+08:00,true
DS-06,2027-2028,info_session,2,簡介會,2026-10-04T10:00:00+08:00,2026-10-04T12:00:00+08:00,false
DS-06,2027-2028,application_open,3,開放申請,2026-10-15T09:00:00+08:00,,true
DS-06,2027-2028,application_deadline,4,申請截止,2026-11-30T23:59:00+08:00,,false
DS-06,2027-2028,first_interview,5,一面,2026-12-12T09:00:00+08:00,2026-12-12T11:00:00+08:00,false
DS-06,2027-2028,second_interview,6,二面,2027-01-16T09:00:00+08:00,2027-01-16T11:00:00+08:00,false
DS-06,2027-2028,result_release,7,結果公佈,2027-02-06T09:00:00+08:00,,true
DS-07,2027-2028,open_day,1,開放日,2026-09-20T09:00:00+08:00,2026-09-20T16:00:00+08:00,true
DS-07,2027-2028,info_session,2,簡介會,2026-10-04T10:00:00+08:00,2026-10-04T12:00:00+08:00,false
DS-07,2027-2028,application_open,3,開放申請,2026-10-15T09:00:00+08:00,,true
DS-07,2027-2028,application_deadline,4,申請截止,2026-11-30T23:59:00+08:00,,false
DS-07,2027-2028,first_interview,5,一面,2026-12-12T09:00:00+08:00,2026-12-12T11:00:00+08:00,false
DS-07,2027-2028,second_interview,6,二面,2027-01-16T09:00:00+08:00,2027-01-16T11:00:00+08:00,false
DS-07,2027-2028,result_release,7,結果公佈,2027-02-06T09:00:00+08:00,,true
DS-08,2027-2028,open_day,1,開放日,2026-09-20T09:00:00+08:00,2026-09-20T16:00:00+08:00,true
DS-08,2027-2028,info_session,2,簡介會,2026-10-04T10:00:00+08:00,2026-10-04T12:00:00+08:00,false
DS-08,2027-2028,application_open,3,開放申請,2026-10-15T09:00:00+08:00,,true
DS-08,2027-2028,application_deadline,4,申請截止,2026-11-30T23:59:00+08:00,,false
DS-08,2027-2028,first_interview,5,一面,2026-12-12T09:00:00+08:00,2026-12-12T11:00:00+08:00,false
DS-08,2027-2028,second_interview,6,二面,2027-01-16T09:00:00+08:00,2027-01-16T11:00:00+08:00,false
DS-08,2027-2028,result_release,7,結果公佈,2027-02-06T09:00:00+08:00,,true
DS-09,2027-2028,open_day,1,開放日,2026-09-20T09:00:00+08:00,2026-09-20T16:00:00+08:00,true
DS-09,2027-2028,info_session,2,簡介會,2026-10-04T10:00:00+08:00,2026-10-04T12:00:00+08:00,false
DS-09,2027-2028,application_open,3,開放申請,2026-10-15T09:00:00+08:00,,true
DS-09,2027-2028,application_deadline,4,申請截止,2026-11-30T23:59:00+08:00,,false
DS-09,2027-2028,first_interview,5,一面,2026-12-12T09:00:00+08:00,2026-12-12T11:00:00+08:00,false
DS-09,2027-2028,second_interview,6,二面,2027-01-16T09:00:00+08:00,2027-01-16T11:00:00+08:00,false
DS-09,2027-2028,result_release,7,結果公佈,2027-02-06T09:00:00+08:00,,true
DS-10,2027-2028,open_day,1,開放日,2026-09-20T09:00:00+08:00,2026-09-20T16:00:00+08:00,true
DS-10,2027-2028,info_session,2,簡介會,2026-10-04T10:00:00+08:00,2026-10-04T12:00:00+08:00,false
DS-10,2027-2028,application_open,3,開放申請,2026-10-15T09:00:00+08:00,,true
DS-10,2027-2028,application_deadline,4,申請截止,2026-11-30T23:59:00+08:00,,false
DS-10,2027-2028,first_interview,5,一面,2026-12-12T09:00:00+08:00,2026-12-12T11:00:00+08:00,false
DS-10,2027-2028,second_interview,6,二面,2027-01-16T09:00:00+08:00,2027-01-16T11:00:00+08:00,false
DS-10,2027-2028,result_release,7,結果公佈,2027-02-06T09:00:00+08:00,,true
DS-11,2027-2028,open_day,1,開放日,2026-09-20T09:00:00+08:00,2026-09-20T16:00:00+08:00,true
DS-11,2027-2028,info_session,2,簡介會,2026-10-04T10:00:00+08:00,2026-10-04T12:00:00+08:00,false
DS-11,2027-2028,application_open,3,開放申請,2026-10-15T09:00:00+08:00,,true
DS-11,2027-2028,application_deadline,4,申請截止,2026-11-30T23:59:00+08:00,,false
DS-11,2027-2028,first_interview,5,一面,2026-12-12T09:00:00+08:00,2026-12-12T11:00:00+08:00,false
DS-11,2027-2028,second_interview,6,二面,2027-01-16T09:00:00+08:00,2027-01-16T11:00:00+08:00,false
DS-11,2027-2028,result_release,7,結果公佈,2027-02-06T09:00:00+08:00,,true
DS-12,2027-2028,open_day,1,開放日,2026-09-20T09:00:00+08:00,2026-09-20T16:00:00+08:00,true
DS-12,2027-2028,info_session,2,簡介會,2026-10-04T10:00:00+08:00,2026-10-04T12:00:00+08:00,false
DS-12,2027-2028,application_open,3,開放申請,2026-10-15T09:00:00+08:00,,true
DS-12,2027-2028,application_deadline,4,申請截止,2026-11-30T23:59:00+08:00,,false
DS-12,2027-2028,first_interview,5,一面,2026-12-12T09:00:00+08:00,2026-12-12T11:00:00+08:00,false
DS-12,2027-2028,second_interview,6,二面,2027-01-16T09:00:00+08:00,2027-01-16T11:00:00+08:00,false
DS-12,2027-2028,result_release,7,結果公佈,2027-02-06T09:00:00+08:00,,true
DS-13,2027-2028,open_day,1,開放日,2026-09-20T09:00:00+08:00,2026-09-20T16:00:00+08:00,true
DS-13,2027-2028,info_session,2,簡介會,2026-10-04T10:00:00+08:00,2026-10-04T12:00:00+08:00,false
DS-13,2027-2028,application_open,3,開放申請,2026-10-15T09:00:00+08:00,,true
DS-13,2027-2028,application_deadline,4,申請截止,2026-11-30T23:59:00+08:00,,false
DS-13,2027-2028,first_interview,5,一面,2026-12-12T09:00:00+08:00,2026-12-12T11:00:00+08:00,false
DS-13,2027-2028,second_interview,6,二面,2027-01-16T09:00:00+08:00,2027-01-16T11:00:00+08:00,false
DS-13,2027-2028,result_release,7,結果公佈,2027-02-06T09:00:00+08:00,,true
DS-14,2027-2028,open_day,1,開放日,2026-09-20T09:00:00+08:00,2026-09-20T16:00:00+08:00,true
DS-14,2027-2028,info_session,2,簡介會,2026-10-04T10:00:00+08:00,2026-10-04T12:00:00+08:00,false
DS-14,2027-2028,application_open,3,開放申請,2026-10-15T09:00:00+08:00,,true
DS-14,2027-2028,application_deadline,4,申請截止,2026-11-30T23:59:00+08:00,,false
DS-14,2027-2028,first_interview,5,一面,2026-12-12T09:00:00+08:00,2026-12-12T11:00:00+08:00,false
DS-14,2027-2028,second_interview,6,二面,2027-01-16T09:00:00+08:00,2027-01-16T11:00:00+08:00,false
